run_name,run_id,state,last_grpo_step,best_eval_reward,best_eval_grpo_step
len_norm_constant,39s7pvn3,finished,199,0.7421875,183
len_norm_mean,lh4zhvuh,finished,199,0.740234375,183
len_norm_microbatch,x5jynj2p,finished,199,0.7412109375,159
lr_sweep_1.5e-5,3pxmc81k,finished,99,0.5888671875,99
lr_sweep_1e-4,0k0ojh9j,crashed,13,0.0302734375,0
lr_sweep_1e-5,9fvhpul7,finished,99,0.5048828125,95
lr_sweep_1e-6,za5aysn1,crashed,13,0.0302734375,0
lr_sweep_3e-5,ex8rfr9f,finished,99,0.716796875,91
lr_sweep_3e-6,81su6ul1,crashed,44,0.068359375,43
no_baseline,g7fura8o,crashed,95,0.33984375,7
no_baseline_lr1.5e-5,0em69kxh,crashed,78,0.2880859375,15
off_policy_e1_tb128_ga32,xanovojh,finished,49,0.5791015625,49
off_policy_e1_tb256_ga64,2su89bsh,finished,49,0.630859375,49
off_policy_e2_tb128_ga32,oqbvnvse,finished,49,0.599609375,49
off_policy_e2_tb256_ga64,c5vn0zee,finished,49,0.634765625,49
off_policy_e4_tb256_ga64,oqsl2vyv,finished,49,0.6552734375,49
off_policy_e4_tb64_ga16,ugr08ze1,crashed,30,0.4619140625,15
off_policy_full_e1_tb128_ga32,3xyvb7iq,finished,199,0.6923828125,183
off_policy_full_e1_tb256_ga64,12sclhqo,finished,199,0.748046875,171
off_policy_full_e2_tb256_ga64,2m43chrb,finished,199,0.6904296875,159
off_policy_no_clip_e1_tb128_ga32,znvb6btc,crashed,45,0.5732421875,39
off_policy_no_clip_e1_tb128_ga32,thcmt4bl,finished,199,0.7236328125,183
off_policy_no_clip_e1_tb256_ga64,e800vz62,crashed,58,0.5859375,51
question_only_e1_tb256_ga64,zi1yrssx,finished,199,0.7119140625,183
reinforce_baseline,dachymmw,crashed,99,0.6259765625,83
sft_grpo_e1_tb256_ga64,7s0wwdr3,crashed,153,0.671875,131
sft_grpo_e1_tb256_ga64_ckpt10,7dmsxw9a,finished,199,0.7080078125,199
sft_grpo_e1_tb256_ga64_ckpt20,7hhim1m8,finished,199,0.693359375,183
sft_grpo_e1_tb256_ga64_lr1.5e-5,qybbf3iz,crashed,83,0.576171875,47
std_dev,1r7vmgun,finished,199,0.6865234375,171
