run_name,metric,step,value
off_policy_e1_tb256_ga64,eval/reward,0,0.0302734375
off_policy_e1_tb256_ga64,eval/reward,3,0.2568359375
off_policy_e1_tb256_ga64,eval/reward,7,0.3701171875
off_policy_e1_tb256_ga64,eval/reward,11,0.4150390625
off_policy_e1_tb256_ga64,eval/reward,15,0.42578125
off_policy_e1_tb256_ga64,eval/reward,19,0.4375
off_policy_e1_tb256_ga64,eval/reward,23,0.4794921875
off_policy_e1_tb256_ga64,eval/reward,27,0.49609375
off_policy_e1_tb256_ga64,eval/reward,31,0.50390625
off_policy_e1_tb256_ga64,eval/reward,35,0.52734375
off_policy_e1_tb256_ga64,eval/reward,39,0.55859375
off_policy_e1_tb256_ga64,eval/reward,43,0.587890625
off_policy_e1_tb256_ga64,eval/reward,47,0.5966796875
off_policy_e1_tb256_ga64,eval/reward,49,0.630859375
off_policy_e1_tb256_ga64,train/grad_norm,0,0.1669921875
off_policy_e1_tb256_ga64,train/grad_norm,1,0.33203125
off_policy_e1_tb256_ga64,train/grad_norm,2,0.44140625
off_policy_e1_tb256_ga64,train/grad_norm,3,0.4921875
off_policy_e1_tb256_ga64,train/grad_norm,4,0.52734375
off_policy_e1_tb256_ga64,train/grad_norm,5,0.76171875
off_policy_e1_tb256_ga64,train/grad_norm,6,0.796875
off_policy_e1_tb256_ga64,train/grad_norm,7,0.95703125
off_policy_e1_tb256_ga64,train/grad_norm,8,0.70703125
off_policy_e1_tb256_ga64,train/grad_norm,9,0.78125
off_policy_e1_tb256_ga64,train/grad_norm,10,1.2265625
off_policy_e1_tb256_ga64,train/grad_norm,11,1.09375
off_policy_e1_tb256_ga64,train/grad_norm,12,0.83984375
off_policy_e1_tb256_ga64,train/grad_norm,13,1.59375
off_policy_e1_tb256_ga64,train/grad_norm,14,0.91015625
off_policy_e1_tb256_ga64,train/grad_norm,15,1.28125
off_policy_e1_tb256_ga64,train/grad_norm,16,1.109375
off_policy_e1_tb256_ga64,train/grad_norm,17,0.75
off_policy_e1_tb256_ga64,train/grad_norm,18,0.84375
off_policy_e1_tb256_ga64,train/grad_norm,19,1.2578125
off_policy_e1_tb256_ga64,train/grad_norm,20,0.70703125
off_policy_e1_tb256_ga64,train/grad_norm,21,0.88671875
off_policy_e1_tb256_ga64,train/grad_norm,22,0.97265625
off_policy_e1_tb256_ga64,train/grad_norm,23,0.40234375
off_policy_e1_tb256_ga64,train/grad_norm,24,0.6171875
off_policy_e1_tb256_ga64,train/grad_norm,25,0.484375
off_policy_e1_tb256_ga64,train/grad_norm,26,0.73046875
off_policy_e1_tb256_ga64,train/grad_norm,27,0.408203125
off_policy_e1_tb256_ga64,train/grad_norm,28,0.515625
off_policy_e1_tb256_ga64,train/grad_norm,29,0.76953125
off_policy_e1_tb256_ga64,train/grad_norm,30,0.37890625
off_policy_e1_tb256_ga64,train/grad_norm,31,0.380859375
off_policy_e1_tb256_ga64,train/grad_norm,32,0.439453125
off_policy_e1_tb256_ga64,train/grad_norm,33,0.453125
off_policy_e1_tb256_ga64,train/grad_norm,34,0.29296875
off_policy_e1_tb256_ga64,train/grad_norm,35,0.26953125
off_policy_e1_tb256_ga64,train/grad_norm,36,0.41796875
off_policy_e1_tb256_ga64,train/grad_norm,37,0.392578125
off_policy_e1_tb256_ga64,train/grad_norm,38,0.2353515625
off_policy_e1_tb256_ga64,train/grad_norm,39,0.29296875
off_policy_e1_tb256_ga64,train/grad_norm,40,0.251953125
off_policy_e1_tb256_ga64,train/grad_norm,41,0.2255859375
off_policy_e1_tb256_ga64,train/grad_norm,42,0.31640625
off_policy_e1_tb256_ga64,train/grad_norm,43,0.1669921875
off_policy_e1_tb256_ga64,train/grad_norm,44,0.2265625
off_policy_e1_tb256_ga64,train/grad_norm,45,0.326171875
