experiment,step,train_loss,val_loss
bigram,0,4.7627,4.7633
bigram,50,4.5327,4.5367
bigram,100,4.3132,4.3291
bigram,150,4.1305,4.1346
bigram,200,3.9389,3.9542
bigram,250,3.7799,3.7951
bigram,300,3.637,3.646
bigram,350,3.4951,3.5176
bigram,400,3.3803,3.4095
bigram,450,3.2653,3.2888
bigram,500,3.1843,3.2045
bigram,550,3.0929,3.1137
bigram,600,3.0146,3.0503
bigram,650,2.9454,2.9724
bigram,700,2.8947,2.9193
bigram,750,2.844,2.8688
bigram,800,2.8006,2.8182
bigram,850,2.7628,2.7863
bigram,900,2.718,2.7488
bigram,950,2.6961,2.7172
bigram,1000,2.6739,2.7028
bigram,1050,2.6549,2.6628
bigram,1100,2.6306,2.6523
bigram,1150,2.6177,2.6422
bigram,1200,2.5949,2.6199
bigram,1250,2.586,2.6102
bigram,1300,2.5687,2.5973
bigram,1350,2.5657,2.5908
bigram,1400,2.5563,2.589
bigram,1450,2.5486,2.5682
bigram,1500,2.5378,2.5576
bigram,1550,2.5456,2.5574
bigram,1600,2.5283,2.5534
bigram,1650,2.5344,2.5486
bigram,1700,2.5244,2.5385
bigram,1750,2.5174,2.5417
bigram,1800,2.5137,2.5504
bigram,1850,2.5195,2.5374
bigram,1900,2.5119,2.5333
bigram,1950,2.5077,2.5316
bigram,2000,2.5046,2.528
bigram,2050,2.5043,2.5207
bigram,2100,2.5006,2.5155
bigram,2150,2.5075,2.5213
bigram,2200,2.4957,2.5162
bigram,2250,2.4929,2.5234
bigram,2300,2.4938,2.5194
bigram,2350,2.4907,2.5106
bigram,2400,2.4835,2.5182
bigram,2450,2.4951,2.5171
bigram,2500,2.4898,2.5104
bigram,2550,2.4804,2.5134
bigram,2600,2.4838,2.5093
bigram,2650,2.49,2.5123
bigram,2700,2.4852,2.5154
bigram,2750,2.4733,2.5035
bigram,2800,2.478,2.5058
bigram,2850,2.478,2.5151
bigram,2900,2.4801,2.5021
bigram,2950,2.4857,2.4967
bigram,3000,2.4731,2.4994
bigram,3050,2.4886,2.5011
bigram,3100,2.4786,2.4999
bigram,3150,2.4765,2.4964
bigram,3200,2.4676,2.4934
bigram,3250,2.4768,2.4919
bigram,3300,2.4748,2.4955
bigram,3350,2.4743,2.5006
bigram,3400,2.4771,2.4936
bigram,3450,2.454,2.5091
bigram,3500,2.4681,2.5003
bigram,3550,2.469,2.4949
bigram,3600,2.4725,2.5031
bigram,3650,2.467,2.4912
bigram,3700,2.4748,2.4914
bigram,3750,2.4754,2.4908
bigram,3800,2.4717,2.4883
bigram,3850,2.4654,2.4919
bigram,3900,2.4661,2.4905
bigram,3950,2.4677,2.4997
bigram,4000,2.4673,2.4875
bigram,4050,2.4631,2.4803
bigram,4100,2.4627,2.4923
bigram,4150,2.4601,2.481
bigram,4200,2.4626,2.4837
bigram,4250,2.4521,2.4844
bigram,4300,2.4663,2.4991
bigram,4350,2.4585,2.4895
bigram,4400,2.4643,2.4891
bigram,4450,2.4728,2.4825
bigram,4500,2.4658,2.4935
bigram,4550,2.4635,2.4933
bigram,4600,2.467,2.4859
bigram,4650,2.4645,2.4816
bigram,4700,2.47,2.4848
bigram,4750,2.4585,2.4874
bigram,4800,2.4597,2.4839
bigram,4850,2.4543,2.4902
bigram,4900,2.4655,2.5021
bigram,4950,2.4594,2.4822
ffn,0,4.1595,4.1596
ffn,50,3.3663,3.4128
ffn,100,3.1595,3.2001
ffn,150,3.0511,3.0823
ffn,200,2.9411,2.9609
ffn,250,2.8625,2.8731
ffn,300,2.7964,2.7952
ffn,350,2.7564,2.7548
ffn,400,2.708,2.7275
ffn,450,2.661,2.6683
ffn,500,2.6508,2.6508
ffn,550,2.6196,2.6087
ffn,600,2.6045,2.6084
ffn,650,2.5855,2.5964
ffn,700,2.5689,2.5605
ffn,750,2.5516,2.5487
ffn,800,2.5508,2.5434
ffn,850,2.5121,2.5301
ffn,900,2.5127,2.5153
ffn,950,2.5079,2.5016
ffn,1000,2.5095,2.4834
ffn,1050,2.4959,2.4772
ffn,1100,2.4766,2.4781
ffn,1150,2.4777,2.4592
ffn,1200,2.4522,2.4584
ffn,1250,2.4555,2.4484
ffn,1300,2.4369,2.4455
ffn,1350,2.4396,2.4465
ffn,1400,2.4415,2.4346
ffn,1450,2.4425,2.4283
ffn,1500,2.4235,2.4214
ffn,1550,2.4221,2.4122
ffn,1600,2.4162,2.4146
ffn,1650,2.41,2.4077
ffn,1700,2.4076,2.4132
ffn,1750,2.4018,2.3939
ffn,1800,2.3923,2.3866
ffn,1850,2.4021,2.3889
ffn,1900,2.381,2.3831
ffn,1950,2.3909,2.3845
ffn,2000,2.3782,2.386
ffn,2050,2.3778,2.3773
ffn,2100,2.3822,2.3628
ffn,2150,2.3742,2.3664
ffn,2200,2.3643,2.3654
ffn,2250,2.3565,2.3628
ffn,2300,2.3578,2.3694
ffn,2350,2.3574,2.3591
ffn,2400,2.3581,2.3512
ffn,2450,2.3459,2.3434
ffn,2500,2.3429,2.3463
ffn,2550,2.3327,2.3464
ffn,2600,2.3437,2.3383
ffn,2650,2.3488,2.3473
ffn,2700,2.331,2.3486
ffn,2750,2.3306,2.3481
ffn,2800,2.3328,2.3369
ffn,2850,2.3377,2.3323
ffn,2900,2.3213,2.3388
ffn,2950,2.3281,2.3226
ffn,3000,2.3181,2.3278
ffn,3050,2.3225,2.3203
ffn,3100,2.3338,2.3384
ffn,3150,2.3216,2.3163
ffn,3200,2.3113,2.3212
ffn,3250,2.3112,2.3103
ffn,3300,2.3129,2.3138
ffn,3350,2.3175,2.3149
ffn,3400,2.3038,2.3061
ffn,3450,2.2993,2.3185
ffn,3500,2.295,2.3194
ffn,3550,2.2984,2.3101
ffn,3600,2.2952,2.3061
ffn,3650,2.2988,2.2939
ffn,3700,2.2885,2.3037
ffn,3750,2.2974,2.2998
ffn,3800,2.2922,2.2989
ffn,3850,2.2815,2.3059
ffn,3900,2.2837,2.3028
ffn,3950,2.2798,2.2976
ffn,4000,2.3011,2.2937
ffn,4050,2.2826,2.2999
ffn,4100,2.2769,2.2991
ffn,4150,2.2726,2.2938
ffn,4200,2.276,2.2889
ffn,4250,2.2692,2.2965
ffn,4300,2.2665,2.3007
ffn,4350,2.2731,2.2979
ffn,4400,2.2605,2.2954
ffn,4450,2.2696,2.278
ffn,4500,2.2547,2.2749
ffn,4550,2.2552,2.2877
ffn,4600,2.2628,2.2781
ffn,4650,2.2668,2.2719
ffn,4700,2.2549,2.272
ffn,4750,2.2565,2.2831
ffn,4800,2.2615,2.2647
ffn,4850,2.2578,2.2793
ffn,4900,2.2421,2.2679
ffn,4950,2.2519,2.2793
prelayernorm,0,4.4087,4.3946
